window_idx,time_s,Healthy,Crackle,Rhonchi,Wheezing,Non-breathing
4.400000000000000000e+01,2.300000000000000000e+01,9.400039911270141602e-02,3.870572836603969336e-04,8.173660188913345337e-02,1.133272890001535416e-02,8.125432133674621582e-01
4.500000000000000000e+01,2.350000000000000000e+01,9.842171519994735718e-02,7.606478175148367882e-04,5.338938906788825989e-02,5.698451306670904160e-03,8.417298197746276855e-01
4.600000000000000000e+01,2.400000000000000000e+01,5.415312200784683228e-02,1.086621428839862347e-03,3.664603084325790405e-02,6.258290261030197144e-03,9.018560051918029785e-01
4.700000000000000000e+01,2.450000000000000000e+01,4.693129286170005798e-02,1.359975896775722504e-03,6.453796289861202240e-03,4.363693762570619583e-03,9.408913254737854004e-01
4.800000000000000000e+01,2.500000000000000000e+01,1.917146295309066772e-01,8.727715467102825642e-04,2.691495232284069061e-03,2.262110123410820961e-03,8.024590015411376953e-01
4.900000000000000000e+01,2.550000000000000000e+01,3.308125734329223633e-01,2.059647231362760067e-04,5.242206621915102005e-03,7.909819483757019043e-03,6.558294296264648438e-01
5.000000000000000000e+01,2.600000000000000000e+01,5.787267088890075684e-01,9.697038331069052219e-05,5.304353777319192886e-03,3.641687100753188133e-03,4.122302532196044922e-01
5.100000000000000000e+01,2.650000000000000000e+01,5.777166485786437988e-01,1.702813751762732863e-04,7.701434195041656494e-03,2.874868223443627357e-03,4.115368127822875977e-01
5.200000000000000000e+01,2.700000000000000000e+01,4.762443602085113525e-01,2.437910152366384864e-04,4.875550419092178345e-02,2.156375441700220108e-03,4.725999832153320312e-01
5.300000000000000000e+01,2.750000000000000000e+01,3.436667919158935547e-01,3.728097071871161461e-04,4.342696815729141235e-02,2.244476461783051491e-03,6.102889180183410645e-01
5.400000000000000000e+01,2.800000000000000000e+01,2.651509940624237061e-01,4.739765718113631010e-04,3.220919519662857056e-02,6.929184310138225555e-03,6.952366232872009277e-01
5.500000000000000000e+01,2.850000000000000000e+01,2.509113252162933350e-01,4.126417334191501141e-04,2.955923974514007568e-02,7.976768538355827332e-03,7.111400365829467773e-01
5.600000000000000000e+01,2.900000000000000000e+01,1.441482752561569214e-01,1.125329639762639999e-03,2.252662740647792816e-02,4.778120666742324829e-03,8.274216651916503906e-01
