Cycle_ID,Representation,Algorithm,Valid_Runs,Total_Runs,Silhouette_Mean,Silhouette_Std,Calinski_Harabasz_Mean,Calinski_Harabasz_Std,Davies_Bouldin_Mean,Davies_Bouldin_Std,Stability,Quality_Score,Params,Mean_Clusters,Mean_Noise_Ratio
A0,logmel_mean,kmeans_k3,7,7,0.3274539876201273,0.011819150874296554,23.63457294431894,0.511762523991955,1.0382622563407742,0.05858532595871415,0.9881808491257035,0.32358375953605495,{'n_clusters': 3},3.0,0.0
A0,logmel_mean,kmeans_k4,7,7,0.3271197108481639,0.011684155416723154,24.61221638123677,0.3135192397899069,0.9613403841401275,0.01338341591443254,0.9883158445832768,0.3232975933067404,{'n_clusters': 4},4.0,0.0
D0,mfcc_mean,kmeans_k5,7,7,0.32425479102885735,0.003333430632525061,164.68476426792176,0.3853863229822513,1.361727123692498,0.0030675567837554507,0.9966665693674749,0.32317391017569874,{'n_clusters': 5},5.0,0.0
A0,mfcc_mean,kmeans_k5,7,7,0.32918679533183376,0.02024174550595077,16.339355689544295,0.27060727641493454,0.9552373001722902,0.09445478071426228,0.9797582544940492,0.32252347999680725,{'n_clusters': 5},5.0,0.0
A0,mfcc_mean,kmeans_k3,7,7,0.31628344951264725,0.0027192988849105283,18.02487097924274,0.06612678824316436,1.2608446392942465,0.003029767702722559,0.9972807011150895,0.31542338028107186,{'n_clusters': 3},3.0,0.0
D1,mfcc_mean,kmeans_k4,7,7,0.3032995731548205,0.0,158.53836917169662,1.8606376406409512e-14,1.174360437060647,1.18687833744435e-16,1.0,0.3032995731548205,{'n_clusters': 4},4.0,0.0
A0,mfcc_mean,kmeans_k4,7,7,0.30627359498880696,0.010531944064767746,16.229254601421335,0.19318135606982645,1.036077670149128,0.07860534356425598,0.9894680559352322,0.3030479386178695,{'n_clusters': 4},4.0,0.0
D1,mfcc_mean,kmeans_k5,7,7,0.2895214863768369,0.0017182686528142035,154.9813182418775,0.1583084119470389,1.1371677158983007,0.013669597217817513,0.9982817313471858,0.2890240106824794,{'n_clusters': 5},5.0,0.0
A0,raw_waveform_stats,kmeans_k5,7,7,0.28650085698854516,0.026549730111766562,28.65969222190716,0.37622169741844214,0.7420760066339006,0.06437870495478391,0.9734502698882335,0.2788943365587095,{'n_clusters': 5},5.0,0.0
A0,raw_waveform_stats,kmeans_k4,7,7,0.27565918541963186,0.012249167918361822,27.116258622778297,0.05841918499574999,0.7162453665476302,0.015614116536214561,0.9877508320816382,0.27228258976918795,{'n_clusters': 4},4.0,0.0
