time_sec,spectral_centroid_hz,spectral_bandwidth_hz,spectral_flatness,spectral_rolloff_hz,spectral_peakiness,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,rms_env,wheeze_candidate
25.856,162.70019468584007,83.28612572091266,0.007599482801318325,183.59375,0.10096897063646307,-168.37484338762937,13.471280762046725,1.9247009006681877,-2.2630874865034944,-3.916033551013715,-4.573369764248058,-4.79169326799722,-4.372125375520853,-3.548561808429622,-2.5902345891808896,-2.0859396582642087,-1.5309151810204056,-0.9954760395849027,0.0042857750651559634,0
25.984,188.99193656728508,101.71766606236542,0.010575704647404276,250.0,0.0915324290079467,-166.33122934489882,14.457967034142623,1.2186497015531217,-3.2672984698447474,-5.244238268476797,-5.2549159843910935,-4.323517441896792,-3.250289128384589,-2.902132221082143,-2.692815388088209,-2.266990838089985,-1.3790269746015444,-0.7708158060569994,0.005869188598756303,0
26.112,178.78088009574444,90.55222482839908,0.006041887898937771,246.09375,0.07032567196737544,-163.94366051666344,16.6897613759786,1.3364269566509386,-3.870042067940222,-5.251442837987481,-5.102562069518914,-4.346350581018597,-3.4606719701366844,-3.7625895850809163,-3.4499981629559557,-2.409640829540856,-1.5516134643576107,-1.608851843821935,0.006867934470730194,0
26.24,179.86929486449534,91.25003441148992,0.007052449869674395,222.65625,0.07661636641839244,-163.61379204098233,16.509882838481673,0.47159417209149856,-3.8183910244879247,-4.155541778512465,-4.929465803336406,-5.425498744918049,-4.005578468198727,-3.332194795586765,-3.072666227835618,-2.1623926742104236,-1.414321736653416,-1.6575707232548087,0.005031190746064757,0
26.368,191.57981589105148,90.9014913092202,0.007877618182691169,250.0,0.07865462552423139,-166.5530906451615,14.856126895904971,1.4544766239979212,-3.541496361624672,-5.126051842214687,-5.678339311320373,-4.85490495089163,-3.3891565013766214,-3.1245380586988403,-2.3231343757598033,-1.1059350530547434,-0.45474600732857984,-1.1320029541900754,0.004806421597355169,0
26.496,177.14652530835278,96.54914356975397,0.00920640968438616,230.46875,0.10992705358415106,-168.7161966706218,13.467759362687719,1.863823854278483,-2.568331855416077,-3.8950820647030664,-4.88593713930225,-4.821688755143921,-3.3742229674890574,-2.8590895235332576,-2.62841746147301,-2.000444317225389,-1.181583313191262,-0.9155798610319479,0.0063926290454609045,0
26.624,155.6670605174474,69.67622604702167,0.003915752724140389,187.5,0.09750687949529958,-165.0483100206298,16.224348787255693,2.8794567740618904,-1.2421068047059385,-3.815187817760062,-5.759478423142637,-5.648984220122179,-4.3294688139293775,-3.677274538195544,-2.936629463552843,-2.5624224460828025,-2.085271432282709,-1.6878605805754496,0.004009655523779189,0
26.752,202.72352943019214,129.77151940308994,0.01487098440935108,269.53125,0.09622875734275586,-169.27729405797606,11.534860792651102,0.1097238671186099,-2.3875402678456736,-3.428020637457241,-5.611918962672116,-5.765453239916283,-3.002001326800416,-1.597107899390585,-1.9500993736981678,-2.050113586948347,-0.7486717901090854,-0.09253542074925232,0.003229261695274236,0
26.88,230.0021232026877,160.7647194595152,0.025387829535904877,324.21875,0.07439776234146007,-168.9537128107522,11.375707831742158,-1.0252054196860156,-3.3448291525306804,-3.296036383521094,-3.9786254708335176,-3.819901691258238,-2.4002696210155854,-1.8648247895232877,-2.1826021653171557,-2.0957695330540913,-0.9386321388102234,-0.8468358056175849,0.005370391000594411,0
27.008,159.28761368030098,65.44745449080003,0.004209683408207853,191.40625,0.10364939645403021,-165.66976363529997,15.930556728954025,3.293576184008665,-1.4190989853510827,-3.813642791302935,-4.969929642387311,-5.5416836565899725,-4.806952207962201,-3.9663822129933326,-2.960420583993898,-2.0744975394800282,-1.2344229861280944,-0.8985347500340379,0.005415345888052667,0
27.136,200.8044107570447,99.31957259945447,0.010088090484172257,261.71875,0.09438276105807136,-167.39890549758422,13.79646172267783,1.3549820867982074,-3.0835351697272886,-5.509319144669229,-6.150824220955431,-4.873932418263655,-2.9941600061977534,-2.0024509322738173,-1.2723545400809004,-1.3350102814110878,-1.7234468901848525,-1.6015489991582086,0.005492904702467586,0
