file_path,filename,preprocessing,logmel_0,logmel_1,logmel_2,logmel_3,logmel_4,logmel_5,logmel_6,logmel_7,logmel_8,logmel_9,logmel_10,logmel_11,logmel_12,logmel_13,logmel_14,logmel_15,logmel_16,logmel_17,logmel_18,logmel_19,logmel_20,logmel_21,logmel_22,logmel_23,logmel_24,logmel_25,logmel_26,logmel_27,logmel_28,logmel_29,logmel_30,logmel_31,logmel_32,logmel_33,logmel_34,logmel_35,logmel_36,logmel_37,logmel_38,logmel_39,logmel_40,logmel_41,logmel_42,logmel_43,logmel_44,logmel_45,logmel_46,logmel_47,logmel_48,logmel_49,logmel_50,logmel_51,logmel_52,logmel_53,logmel_54,logmel_55,logmel_56,logmel_57,logmel_58,logmel_59,logmel_60,logmel_61,logmel_62,logmel_63
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP7_60sec.wav,WEBSS-003 TP7_60sec.wav,bandpass_100_2000,-44.69222424356243,-28.31145237803538,-25.34525224665793,-28.280961255333807,-31.591530653787732,-33.98928729233747,-36.08908594630727,-37.47704263694833,-37.52901234240058,-37.63122420511209,-39.15652917568449,-41.025754212228094,-42.083214125394214,-42.961975100569084,-43.43103784060311,-43.36692031909603,-42.367285145397,-42.831324782549785,-43.54958808656318,-45.00286596666559,-46.72821168566815,-47.99854105650514,-48.797861737952346,-49.92339431677703,-51.41514507916593,-52.40429127162779,-53.619946040658924,-54.640244227660126,-55.83125867821867,-57.35057023525739,-58.96638852518789,-60.91276184662729,-62.34255125330986,-64.28835360051859,-69.15367816136356,-79.65652062434515,-79.99662074155326,-79.9978268677032,-79.99873830249535,-79.99952582538181,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP1_60sec.wav,WEBSS-003 TP1_60sec.wav,bandpass_100_2000,-48.06100496948404,-29.733405184285797,-25.141992976881365,-27.760115902304396,-31.354770339465627,-34.080143646876735,-35.34350040587914,-36.100939888645264,-38.1439604727509,-40.064864734901384,-41.57435674571965,-42.46263339061734,-43.36340981144445,-44.489333576413706,-45.102930534548854,-45.14656474915606,-45.47384020819654,-46.20444991973875,-46.76155024632255,-47.61778917095578,-47.81574899926593,-48.20454417167025,-48.88879859564464,-50.39149012433672,-52.41122807804884,-54.11601883782518,-55.51380914725615,-56.44172823813446,-56.819448551601866,-57.515865711356305,-58.41659241078101,-59.671906254295635,-61.63804555431911,-63.50704047176933,-67.78997026872231,-79.84907738977266,-79.98665694113332,-79.9894789889963,-79.99113388743298,-79.99221886190573,-79.99324038617955,-79.99425249247946,-79.99526334397463,-79.99627746465873,-79.99704845068294,-79.99756123571483,-79.998075437812,-79.99859189593253,-79.99911268180085,-79.99963793505651,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP6_60sec.wav,WEBSS-003 TP6_60sec.wav,bandpass_100_2000,-35.85444258085051,-19.805448613875747,-16.91572517932537,-18.926790937163183,-22.953551156526025,-26.408954741845022,-27.995374928100848,-29.281029023460764,-28.00119560690726,-28.45287197777997,-30.584612149341034,-32.16113902205675,-33.7066488259033,-34.87697306107057,-34.906830956928786,-35.11302664078491,-34.708026206755385,-35.68589343358638,-35.44773185873705,-36.47381162765134,-38.41605105071131,-39.24721096419181,-40.43398892388491,-42.47070941408205,-43.9167846685913,-44.5219907303974,-45.99831083287315,-47.54493534438732,-48.76926199508581,-49.94111127527277,-51.27634396555154,-53.41033085287047,-55.47350597219903,-57.5502401227533,-62.397360770202106,-78.74603389784914,-79.96654768025824,-79.97140013933529,-79.9753919893463,-79.9789260837294,-79.98126854122035,-79.9832527062996,-79.98508469240474,-79.98678525380502,-79.98787693365347,-79.98886186911604,-79.98981825086997,-79.99074745084249,-79.99165241196084,-79.99253138787387,-79.99337871835297,-79.99420342218184,-79.99499568971726,-79.99575574226144,-79.9964843342026,-79.99698971740142,-79.99731447065561,-79.99761675204209,-79.99789348507119,-79.99814101301106,-79.99835673926626,-79.99853413023861,-79.99866973709635,-79.9987555961347
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS002_3/WEBSS-002 TP 3_60sec.wav,WEBSS-002 TP 3_60sec.wav,bandpass_100_2000,-41.89870061477294,-25.94786086015732,-23.268134127755168,-26.269145033616898,-28.866674036050185,-30.752866710469696,-32.73894867792602,-35.933966094756315,-38.45927211831831,-40.72955229832107,-43.75127976730931,-46.68099447165579,-48.64859750239899,-49.66548107661007,-50.255865675973176,-50.706017799186604,-50.770469292113496,-50.518005457999465,-50.13862918679937,-49.946594429881884,-49.49662852268919,-49.15152950499533,-49.04727816128535,-48.494518504040926,-47.985510750505746,-47.59543861909066,-48.166571869291715,-49.36471993024436,-50.59194358770395,-52.36845404363824,-55.00345025972595,-58.427855244067274,-61.1779761740928,-63.55585897562899,-68.45090229058705,-79.86756464355784,-79.97953641060225,-79.9834226635463,-79.98671325811938,-79.9897326000205,-79.99200509098975,-79.99411449203339,-79.99563155013792,-79.99681912985011,-79.9979556245343,-79.99904731460907,-79.99964703998491,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS002_3/WEBSS-002 TP 4_60sec.wav,WEBSS-002 TP 4_60sec.wav,bandpass_100_2000,-49.568295663980365,-34.26155525729336,-32.3313591190215,-35.3803239619379,-37.43848440179104,-39.5134253525121,-42.56828576816106,-45.66372004204282,-47.905382431746915,-50.67784383876554,-53.92948316945669,-56.7737137045424,-59.10900483661591,-60.83699849397799,-61.890163124534205,-62.90768262999561,-63.892082051954205,-64.49320796830129,-64.73919052819276,-65.25643153928583,-65.33755320989333,-65.37300787343493,-65.1285583317584,-64.0891730424127,-63.09039495329498,-62.500856431461685,-62.257372592877594,-63.01454859971572,-64.42451824212823,-67.12788026463166,-69.82438407841333,-72.26829667526921,-74.31367013538357,-76.08187087789624,-79.11595613380618,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS002_3/WEBSS-002 TP 2_60sec.wav,WEBSS-002 TP 2_60sec.wav,bandpass_100_2000,-51.312602948576796,-36.06070776094957,-33.386737626135535,-36.25019464470945,-37.46959429729545,-39.77856964381353,-43.23602618520014,-45.9050649399689,-47.900381746041596,-50.33501338593438,-52.512629238117945,-54.81451830185645,-56.40529498506959,-57.53755720774236,-58.0559083004576,-58.47424710960034,-59.39723162340082,-60.08589484471044,-60.67614784500089,-60.84383381877637,-61.377400097572604,-61.405303507398926,-61.279656539075106,-61.22281692047809,-61.24490815172272,-61.27160615194802,-61.560187487798636,-62.13421313534604,-62.43948371513296,-64.09331285308062,-66.14884467452325,-68.53282217644843,-71.25646111698612,-73.30056200521683,-76.89892533985855,-79.9744178473085,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP6_60sec.wav,WEBSS-006 TP6_60sec.wav,bandpass_100_2000,-64.93172620445209,-49.23223627160947,-46.502161265689224,-49.015076002388675,-52.03613703590611,-54.387318098848816,-57.01966931251939,-58.729543036083314,-59.9723060995831,-61.302899460661955,-62.05405977484748,-62.262634282587946,-63.03411057841871,-64.06489042050893,-65.12926587316836,-66.3982163307859,-68.00245388264857,-70.17646566868221,-72.2411743701042,-73.94782810084259,-75.2685789458752,-76.26035863921581,-77.10501712698294,-77.65271159748693,-77.8218551513356,-78.29673490244984,-78.73253898299458,-78.85346924938044,-78.94978291039155,-79.08255337686604,-79.19721988787084,-79.27662081650806,-79.29782839253923,-79.41608274929243,-79.58857559636448,-79.9497518131484,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP11_60sec.wav,WEBSS-006 TP11_60sec.wav,bandpass_100_2000,-49.519899665416396,-34.20239852515271,-32.85320807511854,-36.248335173651896,-40.32889364656837,-43.030080950452586,-45.191110686339314,-46.88266276186332,-48.12647619448788,-49.31152874704214,-50.88046510838266,-52.00399212657797,-53.267587783662194,-55.25108457542025,-57.440994060629315,-58.753118862026106,-59.30703842995025,-59.857318023097356,-61.21892966299065,-64.20494009722513,-66.2584692376569,-67.77519729116732,-69.08085215947564,-68.83035650785706,-69.4511263742058,-72.04989542691243,-73.42932917682593,-74.04912959529311,-74.36506773414592,-75.09247434339923,-76.02104147954276,-77.01573393440744,-77.7697316885539,-78.40325572426669,-79.37320848876628,-79.90619008083367,-79.97695984843764,-79.98104066798466,-79.98437568326507,-79.9873756247866,-79.99012175446283,-79.99230366202688,-79.99423240094822,-79.99550653599415,-79.99659658129144,-79.99763744195319,-79.99863313207241,-79.9994317618485,-79.99986697187724,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP1_60sec.wav,WEBSS-006 TP1_60sec.wav,bandpass_100_2000,-59.42445341657944,-41.985651359081174,-37.8985812917361,-39.2467205581663,-42.02891142033494,-43.776826647770385,-45.58647069554483,-48.077062830976146,-49.67425964495845,-50.14572216596115,-50.64380706133958,-52.29476342429884,-53.54957211313089,-54.524561307369694,-55.951238757030524,-57.839885518261056,-59.87991635367601,-61.69081800616775,-63.282514038627106,-64.60371227272715,-66.10065476269864,-67.18366617881233,-68.27194021449839,-69.28121013252077,-70.33283662372784,-71.120562524228,-71.98683987361235,-72.87962302163253,-73.75470279830915,-74.67087706494425,-75.81889671321724,-76.99510413777033,-77.86734804649929,-78.7558045614769,-79.81423985264894,-79.97829887883863,-79.98507452710977,-79.98779954886649,-79.98877648743768,-79.98931481549715,-79.98990123473534,-79.99052944477823,-79.99117530372614,-79.9918251308004,-79.99247154120152,-79.99310741479302,-79.99372629995493,-79.99432622766093,-79.99490830423507,-79.99546989835024,-79.99600464393667,-79.99652163494872,-79.99690174250824,-79.99713388022427,-79.99735405104471,-79.99755949855516,-79.99775039901527,-79.99792586984906,-79.99808446056349,-79.99822441348736,-79.9983454111645,-79.99844353117226,-79.99851831129908,-79.9985651691511
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP7_60sec.wav,WEBSS-006 TP7_60sec.wav,bandpass_100_2000,-63.69225842833323,-46.41975304731735,-42.73873214775223,-44.66879877008481,-47.528240693412585,-49.92147644883076,-52.835202226473164,-55.32226541800447,-56.47274528916296,-57.44659357184151,-58.1900965072441,-59.091358915752174,-60.282747293403055,-61.02533030326719,-62.8474141504329,-64.385002370408,-66.39105046607577,-69.33163226482625,-71.32128090136965,-73.47333982317058,-75.0526455428818,-76.41895136328436,-77.29404308637072,-77.95480028071441,-78.61630178553355,-78.7920826568126,-79.11528423670994,-79.02284892052299,-79.11941940518986,-79.26690897526088,-79.4524521609784,-79.56837967950727,-79.67396231568861,-79.72266740948274,-79.81216762377694,-79.99337149227999,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
