file_path,filename,preprocessing,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP7_60sec.wav,WEBSS-003 TP7_60sec.wav,bandpass_100_2000,-464.03289047169096,186.89051740181932,30.44290965923687,-30.770953978401113,-1.0089548056919124,14.622568094860577,-6.1048653016443515,-12.890288133467566,-1.100012526254711,-3.8841433151351805,-16.32774892657638,-13.823743406674645,-5.161450589233446
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP1_60sec.wav,WEBSS-003 TP1_60sec.wav,bandpass_100_2000,-356.5088787766929,175.37746545494028,31.366055562744577,-24.302649632357838,2.2447218888131752,13.741561932669129,-7.449366545648337,-13.869145192619596,-3.5176700127145253,-7.413417592861656,-18.309976105223953,-13.37658512549059,-4.654433931293119
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP6_60sec.wav,WEBSS-003 TP6_60sec.wav,bandpass_100_2000,-452.0542709680248,215.77161041268792,29.681979394630797,-38.36382568230617,0.6927394568806686,17.576774759685485,-9.117863092388353,-15.428962484694772,0.39785855519992536,-3.742233080333291,-18.503241586901765,-13.238648151321893,-2.242394978861365
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS002_3/WEBSS-002 TP 3_60sec.wav,WEBSS-002 TP 3_60sec.wav,bandpass_100_2000,-456.483461750294,180.99225270375845,25.946410923710857,-21.200036229797732,22.683828675656216,34.103778459437514,-5.2180614488552175,-24.06729945677376,-9.100611050304565,-4.551307778855498,-16.101953565307756,-16.364077658376114,-7.740733547820922
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS002_3/WEBSS-002 TP 4_60sec.wav,WEBSS-002 TP 4_60sec.wav,bandpass_100_2000,-385.2253740894716,113.22314565335061,49.6424514147555,16.08575313264973,18.691416774619416,19.018668555715553,0.061032491450383065,-16.634008078710753,-14.378659836354291,-5.605200262499382,-6.383369371026863,-12.869813910807201,-13.725880401565327
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS002_3/WEBSS-002 TP 2_60sec.wav,WEBSS-002 TP 2_60sec.wav,bandpass_100_2000,-583.5822462869622,120.6926240749934,40.58694196278314,3.702916591848693,13.165638621329501,17.277627918855682,-1.045519827311605,-14.290187083058962,-9.656209382012186,-4.755333756348008,-9.6670578873342,-13.954933657366771,-11.326803480033128
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP6_60sec.wav,WEBSS-006 TP6_60sec.wav,bandpass_100_2000,-427.84961568053325,74.25774294732129,47.009594118932014,20.439506668645873,3.5801608744756175,-3.902234695522064,-5.105936528889994,-2.9803270384863207,-1.1296519860270553,-2.0137314368729737,-4.767589429062241,-7.215118883553805,-8.69335348851301
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP11_60sec.wav,WEBSS-006 TP11_60sec.wav,bandpass_100_2000,-506.0024501953938,117.41714318870105,63.8174516607906,19.389165908805474,0.6615548701057621,-2.1899052295705164,-2.3023173617949553,-3.021928807734137,-3.6607571843276587,-4.921918337688277,-6.781011989897381,-7.825030189428591,-7.906734004777753
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP1_60sec.wav,WEBSS-006 TP1_60sec.wav,bandpass_100_2000,-432.58558611284946,103.97267892646629,56.52731554893543,15.041225765533346,-4.094366610750435,-7.261623717913989,-6.735920118651262,-6.904640518378118,-6.703726264520682,-6.346354103381487,-7.1779670128699316,-8.847299877589483,-10.014728504243104
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP7_60sec.wav,WEBSS-006 TP7_60sec.wav,bandpass_100_2000,-416.12993576300914,85.60254113958476,55.83978095551487,24.37533283438291,2.531303914004494,-7.335385526300515,-8.351632076854296,-5.273432924118321,-2.725802865760426,-3.2765256798689157,-6.188364894295152,-9.08631445210563,-10.634517700758364
