Time(s),Amplitude
3.090250000,0.023342853
3.090312500,0.023853535
3.090375000,0.024437286
3.090437500,0.024990603
3.090500000,0.025413590
3.090562500,0.025632989
3.090625000,0.025701527
3.090687500,0.025733344
3.090750000,0.025884213
3.090812500,0.026277127
3.090875000,0.027007312
3.090937500,0.028047334
3.091000000,0.029272690
3.091062500,0.030488519
3.091125000,0.031532109
3.091187500,0.032270771
3.091250000,0.032661170
3.091312500,0.032752186
3.091375000,0.032681383
3.091437500,0.032585785
3.091500000,0.032567047
3.091562500,0.032658149
3.091625000,0.032832410
3.091687500,0.032994293
3.091750000,0.033037666
3.091812500,0.032890253
3.091875000,0.032545429
3.091937500,0.032017171
3.092000000,0.031343430
3.092062500,0.030570844
3.092125000,0.029747438
3.092187500,0.028875314
3.092250000,0.027954949
3.092312500,0.027017010
3.092375000,0.026120694
3.092437500,0.025300339
3.092500000,0.024566470
3.092562500,0.023903154
3.092625000,0.023246270
3.092687500,0.022472046
3.092750000,0.021460366
3.092812500,0.020156452
3.092875000,0.018585226
3.092937500,0.016816948
3.093000000,0.014965781
3.093062500,0.013165214
3.093125000,0.011518002
3.093187500,0.010033169
3.093250000,0.008659446
3.093312500,0.007330710
3.093375000,0.005998625
3.093437500,0.004619876
3.093500000,0.003200230
3.093562500,0.001802204
3.093625000,0.000526458
3.093687500,-0.000578140
3.093750000,-0.001505991
3.093812500,-0.002292824
3.093875000,-0.002993908
3.093937500,-0.003729764
3.094000000,-0.004612096
3.094062500,-0.005698225
3.094125000,-0.006951350
3.094187500,-0.008314959
3.094250000,-0.009694814
3.094312500,-0.010985320
3.094375000,-0.012079963
3.094437500,-0.012977106
3.094500000,-0.013742164
3.094562500,-0.014479553
3.094625000,-0.015255599
3.094687500,-0.016138658
3.094750000,-0.017130643
3.094812500,-0.018164823
3.094875000,-0.019082481
3.094937500,-0.019764401
3.095000000,-0.020142624
3.095062500,-0.020234546
3.095125000,-0.020094402
3.095187500,-0.019860476
3.095250000,-0.019672001
3.095312500,-0.019625772
3.095375000,-0.019702056
3.095437500,-0.019842485
3.095500000,-0.019954374
3.095562500,-0.019961322
3.095625000,-0.019800179
3.095687500,-0.019491473
3.095750000,-0.019107254
3.095812500,-0.018747980
3.095875000,-0.018471863
3.095937500,-0.018312376
3.096000000,-0.018260136
3.096062500,-0.018280236
3.096125000,-0.018306946
3.096187500,-0.018283134
3.096250000,-0.018166009
3.096312500,-0.017939243
3.096375000,-0.017598026
3.096437500,-0.017159328
3.096500000,-0.016660020
3.096562500,-0.016157752
3.096625000,-0.015686680
3.096687500,-0.015243595
3.096750000,-0.014777532
3.096812500,-0.014209121
3.096875000,-0.013435498
3.096937500,-0.012373625
3.097000000,-0.011012556
3.097062500,-0.009447825
3.097125000,-0.007844578
3.097187500,-0.006376138
3.097250000,-0.005176842
3.097312500,-0.004308346
3.097375000,-0.003740786
3.097437500,-0.003354396
3.097500000,-0.003011981
3.097562500,-0.002624108
3.097625000,-0.002171410
3.097687500,-0.001663428
3.097750000,-0.001129493
3.097812500,-0.000596556
3.097875000,-0.000062962
3.097937500,0.000525811
3.098000000,0.001223617
3.098062500,0.002031974
3.098125000,0.002884896
3.098187500,0.003687956
3.098250000,0.004329723
3.098312500,0.004716971
3.098375000,0.004814583
3.098437500,0.004698358
3.098500000,0.004517972
3.098562500,0.004443114
3.098625000,0.004609962
3.098687500,0.005106837
3.098750000,0.005929837
3.098812500,0.006982048
3.098875000,0.008110216
3.098937500,0.009193167
3.099000000,0.010165436
3.099062500,0.011025543
3.099125000,0.011810109
3.099187500,0.012582955
3.099250000,0.013365666
3.099312500,0.014106526
3.099375000,0.014681659
3.099437500,0.014983237
3.099500000,0.014965781
3.099562500,0.014684851
3.099625000,0.014279711
3.099687500,0.013945048
3.099750000,0.013836288
3.099812500,0.014000855
3.099875000,0.014358763
3.099937500,0.014759938
3.100000000,0.015059905
3.100062500,0.015193311
3.100125000,0.015196313
3.100187500,0.015179590
3.100250000,0.015248154
3.100312500,0.015428705
3.100375000,0.015636407
3.100437500,0.015717644
3.100500000,0.015530528
3.100562500,0.015029508
3.100625000,0.014297783
3.100687500,0.013518685
3.100750000,0.012895043
3.100812500,0.012560915
3.100875000,0.012522144
3.100937500,0.012660213
3.101000000,0.012800919
3.101062500,0.012806747
3.101125000,0.012612964
3.101187500,0.012241425
3.101250000,0.011765551
3.101312500,0.011267998
3.101375000,0.010768862
3.101437500,0.010231895
3.101500000,0.009600690
3.101562500,0.008862356
3.101625000,0.008038877
3.101687500,0.007191785
